product,Period,Actual Consumption,Service Excel,Service AI,Consumption Excel,Consumption AI,Demographic,Consumption LMIS,Forecast Type,Adopted
Implanon,Jul-23,34617,"36,377","30,486","32,824","29,880","23,584",,Main,Service AI
Implanon,Aug-23,34754,"36,377","31,102","32,824","29,944","23,584",,Main,Service AI
Implanon,Sept-23,28470,"36,377","29,557","32,824","29,717","23,584",,Main,Service AI
Implanon,Oct-23,25853,"36,377","30,286","32,824","29,472","23,584",,Main,Service AI
Implanon,Nov-23,24382,"36,377","31,400","32,824","30,186","23,584",,Main,Service AI
Implanon,Dec-23,19385,"36,377","30,317","32,824","29,685","23,584",,Main,Service AI
Implanon,Jan-24,19800,"36,377","30,122","32,824","30,106","23,584",,Main,Service AI
Implanon,Feb-24,27260,"36,377","29,912","32,824","29,814","23,584",,Main,Service AI
Implanon,Mar-24,32320,"36,377","29,932","32,824","29,768","23,584",,Main,Service AI
Implanon,Apr-24,29470,"36,377","29,975","32,824","29,501","23,584",,Main,Service AI
Implanon,May-24,32076,"36,377","30,073","32,824","29,569","23,584",,Main,Service AI
Implanon,Jun-24,36060,"36,377","29,730","32,824","29,107","23,584",,Main,Service AI
,,,,,,,,,,
Implanon,Jul-24,"30,691","342,060","402,264","409,236","348,876","337,356",,Main,Consumption Excel
Implanon,Aug-24,"28,193","342,060","402,264","409,236","348,876","337,356",,Main,Consumption Excel
Implanon,Sept-24,"26,130","342,060","402,264","409,236","348,876","337,356",,Main,Consumption Excel
Implanon,Oct-24,"27,074","342,060","402,264","409,236","348,876","337,356",,Main,Consumption Excel
Implanon,Nov-24,"29,744","342,060","402,264","409,236","348,876","337,356",,Main,Consumption Excel
Implanon,Dec-24,"25,247","342,060","402,264","409,236","348,876","337,356",,Main,Consumption Excel
Implanon,Jan-25,"25,682","342,060","402,264","409,236","348,876","337,356",,Main,Consumption Excel
Implanon,Feb-25,"24,780","342,060","402,264","409,236","348,876","337,356",,Main,Consumption Excel
Implanon,Mar-25,"23,977","342,060","402,264","409,236","348,876","337,356",,Main,Consumption Excel
Implanon,Apr-25,"33,025","342,060","402,264","409,236","348,876","337,356",,Main,Consumption Excel
Implanon,May-25,"28,804","342,060","402,264","409,236","348,876","337,356",,Main,Consumption Excel
Implanon,Jun-25,"29,200","342,060","402,264","409,236","348,876","337,356",,Main,Consumption Excel
,,,,,,,,,,
Implanon,Jul-24,"30,691","397,692","409,236","326,940","353,196","125,304",,Review,Service AI
Implanon,Aug-24,"28,193","397,692","409,236","326,940","353,196","125,304",,Review,Service AI
Implanon,Sept-24,"26,130","397,692","409,236","326,940","353,196","125,304",,Review,Service AI
Implanon,Oct-24,"27,074","397,692","409,236","326,940","353,196","125,304",,Review,Service AI
Implanon,Nov-24,"29,744","397,692","409,236","326,940","353,196","125,304",,Review,Service AI
Implanon,Dec-24,"25,247","397,692","409,236","326,940","353,196","125,304",,Review,Service AI
Implanon,Jan-25,"25,682","397,692","409,236","326,940","353,196","125,304",,Review,Service AI
Implanon,Feb-25,"24,780","397,692","409,236","326,940","353,196","125,304",,Review,Service AI
Implanon,Mar-25,"23,977","397,692","409,236","326,940","353,196","125,304",,Review,Service AI
Implanon,Apr-25,"33,025","397,692","409,236","326,940","353,196","125,304",,Review,Service AI
Implanon,May-25,"28,804","397,692","409,236","326,940","353,196","125,304",,Review,Service AI
Implanon,Jun-25,"29,200","397,692","409,236","326,940","353,196","125,304",,Review,Service AI
,,,,,,,,,,
Implanon,Jul-25,"45,218",,"37,527",,"30,096","15,705","39,705",Main,Service AI
Implanon,Aug-25,"39,880",,"36,217",,"29,123","15,705","39,705",Main,Service AI
Implanon,Sept-25,"42,273",,"34,626",,"27,561","15,705","39,705",Main,Service AI
Implanon,Oct-25,"36,806",,"34,931",,"26,686","15,705","39,705",Main,Service AI
Implanon,Nov-25,"37,186",,"35,509",,"26,350","15,705","39,705",Main,Service AI
Implanon,Dec-25,"32,920",,"32,651",,"24,450","15,705","39,705",Main,Service AI
Implanon,Jan-26,,,"34,687",,"27,108","15,705","39,705",Main,Service AI
Implanon,Feb-26,,,"33,827",,"27,005","15,705","39,705",Main,Service AI
Implanon,Mar-26,,,"34,898",,"28,358","15,705","39,705",Main,Service AI
Implanon,Apr-26,,,"35,486",,"29,574","15,705","39,705",Main,Service AI
Implanon,May-26,,,"36,074",,"29,904","15,705","39,705",Main,Service AI
Implanon,Jun-26,,,"36,662",,"30,716","15,705","39,705",Main,Service AI
,,,,,,,,,,
EC_Pills,Jul-23,6531,"4,224","5,353","3,424","4,041","97,281",,Main,Demographic
EC_Pills,Aug-23,5315,"4,224","5,353","3,424","4,006","97,281",,Main,Demographic
EC_Pills,Sept-23,5300,"4,224","5,353","3,424","4,000","97,281",,Main,Demographic
EC_Pills,Oct-23,5526,"4,224","5,353","3,424","4,028","97,281",,Main,Demographic
EC_Pills,Nov-23,5378,"4,224","5,353","3,424","4,049","97,281",,Main,Demographic
EC_Pills,Dec-23,5821,"4,224","5,353","3,424","4,037","97,281",,Main,Demographic
EC_Pills,Jan-24,6002,"4,224","5,353","3,424","3,982","97,281",,Main,Demographic
EC_Pills,Feb-24,5987,"4,224","5,353","3,424","4,004","97,281",,Main,Demographic
EC_Pills,Mar-24,6629,"4,224","5,353","3,424","3,967","97,281",,Main,Demographic
