product_name,period,financial_year,Actual Consumption,Forecasted_Consumption,Method,Adopted,Reviewed
COCs,01/01/2023,22/23,"30,322","140,882",Demographic,Yes,
COCs,01/02/2023,22/23,"16,089","140,882",Demographic,Yes,
COCs,01/03/2023,22/23,"19,876","140,882",Consumption AI,Yes,
COCs,01/04/2023,22/23,"41,478","140,882",Consumption AI,Yes,
COCs,01/05/2023,22/23,"106,206","165,617",Consumption AI,Yes,
COCs,01/06/2023,22/23,"107,846","165,617",Consumption AI,Yes,
COCs,01/07/2023,23/24,"98,333","165,617",Consumption AI,Yes,
COCs,01/08/2023,23/24,"108,632","165,617",Consumption AI,Yes,
COCs,01/09/2023,23/24,"102,115","165,617",Consumption AI,Yes,
COCs,01/10/2023,23/24,"100,006","165,617",Consumption AI,Yes,
COCs,01/11/2023,23/24,"103,295","165,617",Consumption AI,Yes,
COCs,01/12/2023,23/24,"100,415","165,617",Consumption AI,Yes,
COCs,01/01/2024,23/24,"130,285","165,617",Consumption AI,Yes,
COCs,01/02/2024,23/24,"122,131","165,617",Consumption AI,Yes,
COCs,01/03/2024,23/24,"115,311","130,381",Consumption AI,Yes,
COCs,01/04/2024,23/24,"111,040","130,381",Demographic,Yes,
COCs,01/05/2024,23/24,"130,424","130,381",Demographic,Yes,
COCs,01/06/2024,23/24,"120,322","130,381",Demographic,Yes,
COCs,01/07/2024,24/25,"117,582","130,381",Demographic,Yes,
COCs,01/08/2024,24/25,"114,987","130,381",Demographic,Yes,
COCs,01/09/2024,24/25,"107,554","130,381",Demographic,Yes,
COCs,01/10/2024,24/25,"100,764","130,381",Demographic,Yes,
COCs,01/11/2024,24/25,"92,449","130,381",Demographic,Yes,
COCs,01/12/2024,24/25,"83,034","130,381",Demographic,Yes,
COCs,01/01/2025,24/25,"85,991","130,381",Demographic,Yes,
COCs,01/02/2025,24/25,"74,166","130,381",Demographic,Yes,
COCs,01/03/2025,24/25,"66,929","130,381",Demographic,Yes,
COCs,01/04/2025,24/25,"59,836","130,381",Demographic,Yes,
COCs,01/05/2025,24/25,"53,130","130,381",Demographic,Yes,
COCs,01/06/2025,24/25,"42,852","130,381",Demographic,Yes,
Cycle Beads,01/01/2023,22/23,119,551,Consumption,Yes,
Cycle Beads,01/02/2023,22/23,827,551,Consumption,Yes,
Cycle Beads,01/03/2023,22/23,"2,319",551,Consumption,Yes,
